2401_Sbay|SUR7
7322_Sklu|PFA4
8208_Dhan|MGA1
3832_Smik|REX2
2313_Scer|REG1
5226_Spar|HMLALPHA1
1246_Calb|RPS16A
2665_Klac|MDH3
6797_Sklu|AIM34
1928_Smik|KEL1
8961_Agos|SNA2
699_Sjap|MEX67
4475_Ctro|ABP1
5708_Anid|GRX2
4531_Ctro|PAU10
4982_Spar|INO4
4001_Scas|HXT3
2476_Smik|UBX2
3540_Scer|RPL21A
3595_Calb|OAF3
9192_Scer|RSM24
871_Scer|RPS4A
5222_Scer|PUN1
2455_Scer|ADP1
6925_Kwal|ZPS1
9393_Scas|HTB2
6869_Sjap|MPE1
5231_Scas|HMLALPHA1
3691_Spar|HTA2
4430_Scer|GRX3
7976_Ylip|UPS1
2772_Ncra|EFB1
6527_Ncra|ERP4
674_Anid|COQ6
6766_Scer|RMT2
7332_Scas|MATALPHA1
5081_Sjap|YOL019W
378_Clus|RPP2B
1772_Calb|HMX1
4397_Clus|MRH4
4038_Klac|HXT3
6391_Scas|IGD1
3709_Dhan|HTA2
8232_Sjap|MGA1
3670_Ncra|GTT2
5980_Scer|BPL1
6617_Scer|YML131W
2588_Agos|CTK1
4713_Klac|BIO5
8928_Klac|GPI14
1042_Lelo|TRY3
8974_Ncra|SNA2
2359_Ncra|NGG1
562_Ncra|AGE1
1244_Agos|RPS16A
3755_Cpar|BET3
6335_Spar|IGD1
474_Cgui|LPG20
5540_Cgui|PCL1
3034_Cgla|SFH1
1769_Dhan|HMX1
5819_Ncra|ZAP1
6644_Ncra|YML131W
9368_Clus|YFL054C
6957_Spar|ORM1
9292_Scer|TMA17
7866_Ctro|GPM1
4359_Ncra|CIN2
7827_Agos|RFX1
7678_Spar|QDR3
7125_Calb|HNT1
1237_Sbay|RPS16A
544_Cgui|AGE1
1560_Sbay|PCL2
9157_Ylip|YOR365C
8169_Smik|MGA1
9026_Klac|ABZ2
9420_Scer|YMR262W
975_Smik|RPL16A
1682_Calb|RPL38
5523_Scer|SNA3
187_Smik|RPL6
4320_Scer|GAR1
495_Kwal|ENP1
7260_Cgui|YJL055W
5294_Klac|STP1
7679_Smik|QDR3
3662_Lelo|GTT2
3690_Scer|HTA2
8399_Scer|ENA5
3408_Scer|CDC20
1382_Clus|FBA1
2747_Sbay|EDC1
6027_Sjap|FHN1
2579_Scer|CTK1
3062_Cgla|YBR056W-A
3890_Scer|HXT3
1515_Anid|SLA1
8744_Scas|GAL2
71_Klac|TPS3
9382_Klac|GIS4
1853_Clus|RPS19A
5956_Scer|VPS62
9335_Cpar|ULP1
3553_Agos|RPL21A
5930_Cgla|PML1
3272_Ctro|YBR238C
1390_Anid|FBA1
3959_Sbay|HXT3
646_Calb|GRP1
5903_Klac|FUN19
6145_Agos|ENV10
2580_Spar|CTK1
2387_Spar|RNH203
9427_Klac|YMR262W
3125_Ncra|SIT1
5583_Clus|SPG5
7934_Scer|YEL057C
7047_Agos|IDP3
3757_Ylip|BET3
7240_Ctro|SRP54
7739_Scer|SCP1
2493_Scer|ACO1
8161_Scer|MGA1
5690_Smik|GRX2
6293_Kwal|YMR317W
1918_Anid|TLO1
5606_Smik|ADH2
6984_Spar|RVS161
9370_Ylip|YFL054C
7795_Scer|DRS1
5198_Scer|TOM40
5882_Lelo|RHB1
353_Anid|LIP3
5529_Spar|PCL1
7101_Ctro|YCR087C-A
4998_Scer|RMD8
6892_Sjap|TAF13
4307_Cpar|CRD1
6024_Ylip|FHN1
8168_Smik|MGA1
8021_Clus|PRB1
8620_Ncra|YBL055C
7124_Ctro|HNT1
5914_Anid|FUN19
5554_Cgla|YOR338W
3270_Dhan|YBR238C
5865_Scas|RHB1
5534_Kwal|PCL1
